cycle,open_gpu_mib,closed_gpu_mib,closed_rss_mib
1,286,222,204
2,350,286,205
3,414,350,205
4,478,414,206
5,542,478,206
6,606,542,207
7,606,606,207
8,670,670,207
9,734,734,208
10,798,798,209
11,926,862,209
12,926,926,209
13,990,990,209
14,1054,1054,210
15,1182,1118,210
16,1246,1182,210
17,1310,1246,210
18,1374,1310,210
19,1438,1374,209
20,1502,1438,209
