cycle,open_gpu_mib,closed_gpu_mib,closed_rss_mib
1,286,222,255
2,350,286,256
3,414,350,256
4,478,414,257
5,542,478,258
6,606,542,258
7,670,606,259
8,734,670,260
9,798,734,260
10,862,798,260
11,926,862,260
12,990,926,260
13,1054,990,261
14,1118,1054,261
15,1182,1118,261
16,1246,1182,261
17,1310,1246,261
18,1374,1310,261
19,1438,1374,262
20,1502,1438,262
